Survey Data,High School GPA,SAT/ACT Score,AP Classes,Club/Activities,Hrs. of Sleep,College GPA,,Predicted Values
1,3.7,1460,13,4,8,3.65,,3.667394382
2,3.9,1460,12,3,7,3.7,,3.654572977
3,3.8,1420,4,5,7,3.75,,3.497042081
4,3.86,1340,15,5,7,3.63,,3.528158218
5,3.8,1590,22,1,5,3.6,,3.961405914
6,3.8,1240,13,1,4.5,3.8,,3.365116264
7,3.89,1420,3,4,6.5,3.68,,3.484220676
8,3.2,1270,6,2,6,3.39,,3.316586173
9,3.6,1380,9,3,6,4,,3.506189447
10,4,1370,0,3,7,3.12,,3.377056889
11,3.6,1250,4,3,6,3.5,,3.263463534
12,4,1600,20,3,4,3.71,,3.949503018
13,1.8,870,0,2,5,2.3,,2.690061165
14,4,1560,4,3,5,3.5,,3.689400883
15,3.64,1250,2,3,8,3.56,,3.237820725
16,3,1300,4,3,8,3.25,,3.332163107
17,3.2,1280,4,2,6,3.6,,3.304683278
18,3.9,1460,13,3,5,3.8,,3.667394382
19,3.55,1110,2,7,7,2.8,,3.045461922
20,3.8,1340,7,8,7,3.42,,3.425586979
21,3.89,1450,10,1,8,4,,3.615190253
22,4,1460,3,2,5,3.9,,3.539180334
23,3.91,1460,5,5,6,3.3,,3.564823143
24,4,1480,12,2,7,3.52,,3.682052806
25,3.97,1260,10,1,8,3.45,,3.354131878
26,4,1460,18,4,8.5,3.8,,3.731501406
27,3.8,1420,6,2,7,3.2,,3.52268489
28,3,1190,5,2,7,3.21,,3.193845452
29,3.33,1380,5,1,6,3.06,,3.454903827
30,3.7,1660,6,2,7,3.4,,3.852442838
31,3.92,1450,6,2,8,3,,3.563904634
32,4,1340,3,1,9,3.4,,3.37430136
33,4,1490,7,2,5,3.96,,3.631685696
34,3.87,1510,9,3,7,3.31,,3.684808335
35,4,1200,10,2,7,3,,3.271692391
36,3.8,1260,1,2,7,2.6,,3.238739234
37,4,1580,0,3,8,4,,3.665595093
38,3.2,1330,4,2,6,3.5,,3.37338285
39,3.92,1400,10,5,7.5,3.53,,3.546490681
40,3.7,1560,8,3,7,3.97,,3.740686503
41,3.65,1240,6,2,5,3.43,,3.27536643
42,3.5,1320,4,4,6,3.4,,3.359642936
43,4,1600,9,5,9,4,,3.808467565
44,4,1490,10,3,6,3.7,,3.670149911
45,3.4,1220,2,7,8,3.3,,3.196600981
46,3.4,1170,0,3,7,3.1,,3.102258599
47,3.7,1220,4,2,6,3.3,,3.222243791
48,3.7,1340,5,3,7,3.5,,3.39994417
